strike,CallOpenInt,CallVolume,CallIV,CallGamma,PutOpenInt,PutVolume,PutIV,PutGamma,Price,Days,CallGEX,PutGEX,TotalGamma,Weights,WeightedGEX,CumulativeGEX,Flip
4895.0,297.0,7.0,0.355408,2.6277784209921673e-05,1137.0,303.0,0.294485,2.6277784209921673e-05,4994.48,1,194681.97705951225,-745297.6697530822,-550615.6926935699,1.0,-550615.6926935699,-550615.6926935699,4990.0
4900.0,4434.0,25.0,0.339437,5.065286456208549e-05,4913.0,813.0,0.280862,5.065286456208549e-05,4994.48,1,5602479.247159566,-6207708.737324075,-605229.490164509,1.0,-605229.490164509,-1155845.182858079,4990.0
4905.0,187.0,11.0,0.323485,9.36034058481578e-05,1797.0,1462.0,0.267005,9.36034058481578e-05,4994.48,1,436630.2438925223,-4195853.199330815,-3759222.9554382926,1.0,-3759222.9554382926,-4915068.138296371,4990.0
4910.0,212.0,28.0,0.307551,0.00016606398085795889,1232.0,832.0,0.253164,0.00016606398085795889,4994.48,1,878196.8241452053,-5103483.43088157,-4225286.606736365,1.0,-4225286.606736365,-9140354.745032735,4990.0
4915.0,365.0,35.0,0.304578,0.0002832629207810413,1512.0,856.0,0.23934,0.0002832629207810413,4994.48,1,2579070.1211631983,-10683709.652599331,-8104639.531436132,1.0,-8104639.531436132,-17244994.276468866,4990.0
4920.0,253.0,24.0,0.2881,0.0004593615647694845,1440.0,2125.0,0.241167,0.0004593615647694845,4994.48,1,2899050.178521492,-16500522.755221142,-13601472.57669965,1.0,-13601472.57669965,-30846466.853168517,4990.0
4925.0,390.0,23.0,0.271144,0.0007294921346254944,2513.0,2399.0,0.226482,0.0007294921346254944,4994.48,1,7096852.474812037,-45729205.818468325,-38632353.34365629,1.0,-38632353.34365629,-69478820.1968248,4990.0
4930.0,476.0,131.0,0.254052,0.0010954823127437877,2249.0,2039.0,0.221922,0.0010954823127437877,4994.48,1,13007471.393564574,-61457569.672535144,-48450098.27897057,1.0,-48450098.27897057,-117928918.47579537,4990.0
4935.0,341.0,38.0,0.178011,0.0016296107572623694,2944.0,2161.0,0.209822,0.0016296107572623694,4994.48,1,13861774.148773637,-119674671.82988147,-105812897.68110783,1.0,-105812897.68110783,-223741816.1569032,4990.0
4940.0,511.0,244.0,0.168069,0.0022985585491428788,3022.0,4004.0,0.202541,0.0022985585491428788,4994.48,1,29299285.354010083,-173272877.37733555,-143973592.02332547,1.0,-143973592.02332547,-367715408.1802287,4990.0
4945.0,595.0,697.0,0.181848,0.003176742754600939,2277.0,6913.0,0.193638,0.003176742754600939,4994.48,1,47149769.12964719,-180437015.64404482,-133287246.51439762,1.0,-133287246.51439762,-501002654.69462633,4990.0
4950.0,3191.0,1131.0,0.176426,0.0042387907168421985,5506.0,8123.0,0.187649,0.0042387907168421985,4994.48,1,337403307.4171483,-582181952.5662233,-244778645.14907497,1.0,-244778645.14907497,-745781299.8437014,4990.0
4955.0,349.0,127.0,0.176213,0.00553269232003989,1917.0,10305.0,0.181232,0.00553269232003989,4994.48,1,48166213.116929404,-264569141.96319103,-216402928.84626162,1.0,-216402928.84626162,-962184228.689963,4990.0
4960.0,657.0,526.0,0.171501,0.007048485870703226,2119.0,12227.0,0.177095,0.007048485870703226,4994.48,1,115515898.32233,-372569541.1644098,-257053642.84207982,1.0,-257053642.84207982,-1219237871.5320427,4990.0
4965.0,1785.0,318.0,0.170168,0.00880030521880562,2557.0,16464.0,0.17341,0.00880030521880562,4994.48,1,391846987.36102533,-561318065.3681467,-169471078.00712132,1.0,-169471078.00712132,-1388708949.539164,4990.0
4970.0,759.0,756.0,0.16834,0.01079510919367197,2702.0,19442.0,0.170319,0.01079510919367197,4994.48,1,204385166.07791322,-727600419.9506212,-523215253.872708,1.0,-523215253.872708,-1911924203.4118721,4990.0
4975.0,1206.0,952.0,0.166014,0.012986581294358137,2854.0,15312.0,0.167668,0.012986581294358137,4994.48,1,390681370.9460648,-924547788.291931,-533866417.34586626,1.0,-533866417.34586626,-2445790620.7577386,4990.0
4980.0,852.0,1628.0,0.163947,0.01523407644093663,4045.0,15029.0,0.165924,0.01523407644093663,4994.48,1,323769758.97182155,-1537146332.2077677,-1213376573.2359462,1.0,-1213376573.2359462,-3659167193.993685,4990.0
4985.0,917.0,2298.0,0.162926,0.017264231762453907,890.0,10721.0,0.162689,0.017264231762453907,4994.48,1,394909107.7512707,-383281467.7193358,11627640.031934917,1.0,11627640.031934917,-3647539553.96175,4990.0
4990.0,1283.0,8133.0,0.161744,0.01863974303879742,1571.0,15918.0,0.161473,0.01863974303879742,4994.48,1,596550390.2370577,-730460376.5100682,-133909986.27301049,1.0,-133909986.27301049,-3781449540.2347603,4990.0
4995.0,1747.0,17203.0,0.162256,0.018886540911797825,1534.0,10236.0,0.160975,0.018886540911797825,4994.48,1,823049367.4462223,-722700474.9069861,100348892.53923619,1.0,100348892.53923619,-3681100647.695524,4990.0
5000.0,4480.0,20155.0,0.160852,0.017884161726408172,3923.0,5500.0,0.160428,0.017884161726408172,4994.48,1,1998605873.0196967,-1750118491.039346,248487381.98035073,1.0,248487381.98035073,-3432613265.7151737,4990.0
5005.0,4811.0,14657.0,0.160301,0.015841911811232002,183.0,893.0,0.162071,0.015841911811232002,4994.48,1,1901181173.2484465,-72316806.21585235,1828864367.0325942,1.0,1828864367.0325942,-1603748898.6825795,4990.0
5010.0,1671.0,19018.0,0.160309,0.013266152464391024,301.0,808.0,0.160044,0.013266152464391024,4994.48,1,552970535.3694698,-99607499.18983267,453363036.1796371,1.0,453363036.1796371,-1150385862.5029426,4990.0
5015.0,5033.0,14830.0,0.159558,0.010653055537115454,55.0,190.0,0.162158,0.010653055537115454,4994.48,1,1337462697.7495532,-14615626.540080557,1322847071.2094727,1.0,1322847071.2094727,172461208.7065301,4990.0
5020.0,3643.0,16141.0,0.160349,0.008303419069109898,233.0,487.0,0.159764,0.008303419069109898,4994.48,1,754565048.9962348,-48260679.77384648,706304369.2223883,1.0,706304369.2223883,878765577.9289184,4990.0
5025.0,5118.0,13247.0,0.160739,0.006329665133353788,898.0,142.0,0.162731,0.006329665133353788,4994.48,1,808093424.4244977,-141787396.469949,666306027.9545487,1.0,666306027.9545487,1545071605.8834672,4990.0
5030.0,1993.0,7713.0,0.16337,0.0047130003607308195,77.0,1093.0,0.156485,0.0047130003607308195,4994.48,1,234307035.04569107,-9052504.615413053,225254530.43027803,1.0,225254530.43027803,1770326136.3137453,4990.0
5035.0,3239.0,6292.0,0.167845,0.0034515221071376896,29.0,813.0,0.194118,0.0034515221071376896,4994.48,1,278870235.96690786,-2496831.3809942356,276373404.5859136,1.0,276373404.5859136,2046699540.899659,4990.0
5040.0,2685.0,3534.0,0.17525,0.002420022262881207,20.0,165.0,0.203076,0.002420022262881207,4994.48,1,162085516.0456143,-1207340.9016433095,160878175.143971,1.0,160878175.143971,2207577716.04363,4990.0
